listing_id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
292757,0.91,1,1,1,1,1,9,4.0,5.0,121.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,0,25,362,30,0,4.92,4.91,4.78,4.95,4.95,4.94,4.84,0,1,1,0,0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956152566147644,0.0,0.0,0.0,0.0,0.0,0.1821877815226819,0.0,0.0,0.0,0.2957397983027339,0.0,0.0,0.345411395099731,0.0,0.0,0.2920571702439418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1924441765300199,0.0,0.0,0.0,0.1645192906087475,0.0,0.2905249633554091,0.0,0.0,0.0,0.0,0.2965934383319371,0.0,0.1663958613333246,0.0,0.2352765862932307,0.0,0.0,0.0,0.0,0.3182112865509893,0.0,0.0,0.2978772150696333,0.0,0.0,0.0,0.0,0.0,0.0,0.279007327027393,0.0
302554,0.9899999999999999,0,8,8,1,1,5,1.0,3.0,200.0,2,365,2,5,365,365,3.0,365.0,1,4,8,15,227,59,4,0,4.67,4.72,4.83,4.93,4.9,4.44,4.65,1,8,8,0,0,0.46,0.1201451754964313,0.3345549104711263,0.0,0.6235142239610485,0.1144425414010586,0.0,0.0,0.2451807394311605,0.0,0.1071741649118604,0.11823613417959,0.0,0.0,0.0909639296318624,0.0775516968507641,0.0,0.0942474687859502,0.0,0.0,0.1065301964661129,0.0,0.220546401995451,0.0,0.0,0.0,0.0938007230339901,0.0,0.1100528906588386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700307674024996,0.0,0.0,0.0,0.0,0.0,0.0,0.2525012843913531,0.0970950129659385,0.0,0.0,0.0,0.0,0.0,0.1878319568795918,0.0,0.2709053815008077,0.0,0.0,0.0,0.0,0.2786212675439836,0.1017874431731484,0.0,0.0,0.0,0.0,0.0858532069456469
302634,0.9899999999999999,0,8,8,1,1,2,1.0,2.0,101.0,2,365,2,5,365,365,3.0,365.0,1,0,0,0,0,105,21,4,4.61,4.69,4.75,4.83,4.91,4.47,4.48,1,8,8,0,0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2491081517501624,0.0,0.0,0.2712209002793135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891783491512585,0.1708742233460756,0.2370733290753887,0.0,0.2889600218526491,0.0,0.0,0.0,0.2738340255033796,0.2266602492340445,0.1468381771412746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871980402302241,0.0,0.0,0.0,0.0,0.3292626007908479,0.0,0.0,0.0,0.2903993738540119,0.21829174809233,0.0,0.0,0.0,0.0,0.0,0.2568014449259745,0.0,0.0,0.2740666777870788,0.0,0.0,0.0,0.0
374792,0.91,0,5,5,1,1,4,1.0,3.0,212.0,3,365,3,3,365,365,3.0,365.0,1,0,7,21,90,35,7,1,4.48,4.5,4.59,4.85,4.79,4.41,4.5,1,5,5,0,0,0.28,0.0,0.320702747299483,0.0,0.2561561880055874,0.0,0.0,0.3409920742379626,0.0,0.0,0.3082099355082806,0.0,0.0,0.0,0.2615927719938177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3164885339704368,0.338802109635557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3502731254899174,0.201393482491518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927188779287338,0.0,0.0,0.2965589611996571,0.0,0.0
386860,0.95,0,2,2,1,1,4,2.0,2.0,164.0,1,30,1,2,30,30,1.6,30.0,1,0,0,0,0,92,0,0,4.67,4.77,4.52,4.91,4.83,4.77,4.56,0,2,2,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393631,0.95,0,1,3,1,1,6,3.0,3.0,180.0,3,1125,3,3,1125,1125,3.0,1125.0,1,0,0,0,0,72,0,0,4.87,4.88,4.86,4.93,4.91,4.24,4.65,0,1,1,0,0,0.59,0.0,0.0,0.0,0.0,0.1812182359961166,0.0,0.0,0.0,0.0,0.1697088588903407,0.0,0.1750585614953101,0.0,0.0,0.1228020763061372,0.0,0.149239608203344,0.0,0.0,0.0,0.0,0.1164107607643426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000716500773217,0.0,0.1723219944190094,0.0,0.0,0.0,0.6363477444762483,0.1928700070256168,0.0,0.0,0.0,0.0,0.0,0.1371766220385317,0.0,0.0,0.0,0.0,0.1766641625603601,0.0,0.1361737561490411,0.0,0.0,0.0,0.0,0.3914354522479544,0.0,0.0,0.0,0.147064352111215,0.1611790569535734,0.0,0.2004532383141443,0.0,0.1880624418236504,0.0
419987,0.9899999999999999,0,8,8,1,1,6,1.0,3.0,240.0,2,365,2,5,365,365,3.0,365.0,1,9,19,33,255,145,41,1,4.8,4.8,4.85,4.92,4.94,4.5,4.61,1,8,8,0,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424596,0.95,1,4,5,1,1,3,1.0,1.0,155.0,2,1124,1,2,1124,1124,2.0,1124.0,1,4,9,33,114,519,72,4,4.84,4.92,4.91,4.89,4.88,4.62,4.75,0,4,4,0,0,4.16,0.0,0.0,0.0,0.5865562995647098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088428621150752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2697169334520664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3196894515475589,0.2332093507175503,0.0,0.0,0.0,0.0,0.0,0.0,0.4459837338075086,0.0,0.0,0.0,0.3637734628267561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426326,0.95,0,3,4,1,1,3,1.0,2.0,60.0,3,21,1,3,21,21,3.0,21.0,1,6,16,25,28,254,15,5,4.61,4.78,4.49,4.83,4.84,4.56,4.61,0,3,0,3,0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4640020189308881,0.0,0.320203345118786,0.0,0.0,0.0,0.0,0.0,0.4793454358372938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2949882946935201,0.0,0.0,0.0,0.0,0.404520142163371,0.0,0.0,0.0,0.4491606148391566,0.0,0.0
427077,0.95,1,4,5,1,1,3,1.0,2.0,154.0,2,1124,1,2,1124,1124,2.0,1124.0,1,1,9,26,111,498,57,4,4.84,4.88,4.91,4.86,4.85,4.6,4.69,0,4,4,0,0,3.95,0.0,0.0,0.0,0.2648175032525786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704379124614894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1878189959615947,0.0,0.0,0.3204578896977941,0.243542742460439,0.0,0.0,0.3621167822293397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2556685881917561,0.0,0.0,0.0,0.4027040506284347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763544304539167,0.3065864006000844,0.0,0.2552436131384137
